serial_count,college_name,college_abbreviation,review,user_rating
405,Sharda University,SU,Good college,4
124,IIT Madras,IITM,This college is the best college for engineering and science. It has also the best placement in India. It has the best faculties and best infrastructure. I am studying here and I am very happy to be in this college.,5
1337,BMS College of Engineering,BMSCE,BMS College Of Engineering is one of the best college in india. The quality of education is very good. The faculties are very friendly and they have good teaching skills. All the facilities are provided in hostel. It's a very good college for students who want to make their career in engineering.,4
409,Sona College of Technology,SCT,I would rate Sona College of Technology as 5 out of 5. The course offered by the college is engineering. The atmosphere of the college is very active and the students are very friendly. The college is very well established and has all the facilities to make the learning experience better. The teachers are very supportive and,5
164,University of Petroleum and Energy Studies,UPES,"As an impoverished student, I would like to thank the scholarship department of UPES, Dehradun for granting me a scholarship of Rs. 20,000 with a 50% tuition fee waiver in order to pursue my dream of becoming a Petroleum",5
41,"National Institute of Technology, Durgapur",NIT Durgapur,"A very good college with good infrastructure, good professors and great placement record. The only drawback is that it's a little expensive.",4
1,"All India Institute Of Medical Sciences, Jodhpur",AIIMS Jodhpur,Great teaching faculty and staff. Very well disciplined institute.,5
800,Northern Institute of Fashion Technology,NIFT,"I found the college very good, the faculty and staff are very helpful and the infrastructure is very good",4
12,Vimal Jyothi Institute of Management Studies & Computer Applications,VJIMCA,My college is one of the best college in the field of management in Kannur kerala. We are one of the top 100 colleges in India according to 2022 ranking. We have the best faculties who are very cooperative and helpful. Every year we have the best placement,4
261,Krishna College Of Education,KCE,"This is Krishna College of Education, it is well known for providing education to many students. Their teaching faculty is very much good and well adaptable to the students. The infrastructure of the college is very good and their placement cell is very good. They have good placements too.",4
31719,"Kasturba Medical College, Manipal",KMC,"Overall experience at KMC, Manipal was good. Professors were very good and made sure that you understood the topic. Campus was good. Safety of women students was well taken care of. Good food available in the college canteen. Hostel was good.",4
82,M.E.S. College of Engineering and Technology,MES COLLEGE,"The college is well renowned and has been providing quality education for years. The college has a well-equipped library, modern labs and experienced faculty members.",4
2,Bharti Vidyapeeth Deemed University,BVDU,"Bharti Vidyapeeth, Pune is one of the best education institute in India. It is recognized by UGC and has got many awards for its outstanding performance in the field of education.",3
59,Chandigarh University,CU,"My experience at Chandigarh University has been nothing short of amazing. The teachers are very knowledgeable and always willing to help. They also have a lot of experience in their respective fields, which makes learning so much more interesting and engaging.",4
18,Punjabi University,PU,Best College for B.Tech,4
10530,Maharishi Vidya Mandir,MVM,"Good college, teachers are good.",4
3194,Institute of Engineering and Technology,IET,An institute for engineering and management.,4
10,Indian Institute of Technology Delhi,IITD,"It's a great place to study, it's perfect for me. I think the courses are very good and the professors are great. I am glad I chose IITD. I am most satisfied with the facilities.",4
224,J.S.S. College of Pharmacy,JSSCP,The college is fantastic and the staff is supportive and helpful. The college is well maintained and has excellent infrastructure. The course is well-organized and the professors are knowledgeable and enthusiastic. I strongly recommend this college to anyone considering pursuing a pharmacy degree.,5
4,Sathyabama Institute of Science and Technology,SISAT,The college has been ranked 13th in India in 2018. It has also been ranked 11th in India in 2019. The college is also ranked 1st in Tamil Nadu. It is also ranked 1st in Chennai.,3
124,R.N. Podar College Of Commerce & Economics,RNPCCE,The college has a great infrastructure. The staff is also good. The college is well maintained.,5
2296702,National College for Women,NCW,nice college,3
35,Vidya Jyoti College of Education,VJCE,I am pursuing my B.Ed. from vidya jyoti college of education. The environment of the college is very good. The teachers are very cooperative. The placement department of the college is very good.,4
15,Savitribai Phule Pune University,SPPU,It's a great institution. The best of the best college for me.,4
40304,Acharya School Of Architecture & Planning,ASAP,The college is good,3
221,"Punjab Engineering College, Chandigarh",PEC,"Innumerable opportunities, a well-developed infrastructure to support the various co-curricular and extra-curricular activities and the knowledgeable faculty makes PEC a perfect choice for education.",5
1,IKGPT University,IKGPT,I like the college. I am enjoying my study here.,4
17,"Indraprastha Institute of Information Technology, Delhi",IIIT-D,It's a great place to learn programming. It has a good placement cell.,4
182,"University of Delhi, Delhi",DU,DU is one of the premier colleges of India. It was established in 1922 and since then it has been continuously improving. It provides a good environment for education and also has a good sports team.,4
1026,Sathyabama Institute of Science and Technology,SISAT,The college has a great infrastructure. The professors are very helpful and friendly. The college provides a good environment for learning and growth. The college has a wide range of facilities and amenities which makes it a great place to study. The college provides a good career prospects. The college provides a good placement opportunities.,5
153,"Indian Institute of Technology, Jodhpur",IITJ,IIT Jodhpur is one of the best institutions in India. The infrastructure and the faculty are amazing. The student life is very good. Fests are organised frequently.,4
