serial_count,college_name,college_abbreviation,review,user_rating
45,Krishna Institute of Pharmaceutical Sciences,KIPS,"I really like the college, the placement is good and all the facilities are good.",4
2,SRM University - AP,SRM-AP,It was an amazing college with great infrastructure and faculty. The placement cell is very active and provides great opportunities to students. The only negative point I would like to mention is the distance from the city and the high fee structure.,3
20647,C.S.P.M.R.I.E.T.,C.S.P.M.R.I.E.T.,"This is one of the best colleges in Calicut, Kerala. The college is offering a great learning experience and it has the best faculty. They are really helpful and they guide the students very well.",4
171,SNG College of Engineering,SNGC,"SNGC is a well known college in Bhopal, madhya pradesh. The college is known for its quality education and placements. The college offers various courses in engineering and management. The college has a well equipped library and labs. The college has a well maintained campus with all the necessary facilities.",4
10,Symbiosis Institute of Business Management,SIBM,Best in the country,5
1,Kingsway College,KINGS,I was very happy to join this college because my parents also admitted in this college. This college is doing very well in the academic field. I am enjoying my college life.,3
2,The Maharaja Sayajirao University of Baroda,MSU,A great college. The best college of the city with all the facilities.,5
8880,New Era College of Engineering & Technology,NECET,The college is one of the best engineering college in west bengal.,4
65,Dhiraagu,Dhiraagu,The college is a good college with very good teachers and labs.,5
1,Shri Guru Nanak Institute of Technology,SGNIT,The college is well known for its academic and placement records.,4
20,JAIN (Deemed-to-be University),JECRC,The institute has a great infrastructure. It is a very good institute for pursuing engineering.,4
1,Vivekananda Institute of Professional Studies,VIPS,The college is good. The faculty is good. The infrastructure is good. The college is well known.,4
50,C.M.B. College of Engineering,CMB,I am part of the class of 2024. I joined this college because I got a good rank in the entrance exam. I have faced no problems till now and am happy with the college.,4
2369,North India Institute of Hotel Management,NIIHM,It's a great college with very professional teachers for hotel management. They are very strict and they have very good infrastructure.,3
26,"National Institute of Technology, Kurukshetra",NITK,NIT Kurukshetra is a very good college.The placements are very good.Both the academics and the extra curricular activities are very good.Happy to be here,5
3,Karuna Institute of Health Science,KIHS,"KIHS is one of the top medical colleges in India. The college is known for its excellent infrastructure, faculty and the quality of education that it provides. I was impressed by the college infrastructural facilities which includes well-equipped laboratories, library, auditoriums and sports facilities. The",3
20501,"The Oxford College of Science, Commerce & Arts",TOCS,The ambience here is very good. And the teaching staff and the administration staff are very good.,4
37,Government College of Medical Sciences,GCMS,Its an apex college in the country... All the departments are top notch and have best faculty in all the departments... The infrastructure is world class and the college is well connected to the city... The college is very much in lime light due to the number of national and international projects that it is doing,4
78,N M College of Engineering,NMC,NMC is a good college. A lot of people are very helpful here like the professors and the students. The faculty is very good in academics. The campus is very beautiful. The college is very student friendly. The college has good sports facilities.,3
2,Kalinga Institute of Industrial Technology (KIIT),KIIT,"KIIT has been one of the best colleges in the country for many years now. It has consistently produced quality results and has a good placement record. The faculty is also highly qualified and experienced, which makes it a great choice for students looking to pursue their undergraduate or postgraduate studies. The infrastructure of the college",4
